"user","viz","accuracy","difficulty"
"SyhdSuB4y9NgPMA6H","chart",1,"medium"
"W9KmHzPDL9zgejZBv","chart",1,"medium"
"WT6eAuzxb2q9D2dKy","chart",1,"medium"
"Y8MQD9crBw3XCtvHa","chart",1,"medium"
"Y8eiaT7fnGm8vH2s9","chart",1,"medium"
"YL7udNgoFoKPu5hF5","chart",1,"medium"
"Yr5Zvv6H9SZSqizrr","chart",0.75,"medium"
"ZBLBSAhYkJ4YhKXHy","chart",1,"medium"
"ZLTTgMCadn3BcvAuZ","chart",1,"medium"
"Zozdc9QR8pqdDuEwD","chart",1,"medium"
"ZvNs6QCxpMBYhpfAo","chart",0.5,"medium"
"aKpbREh99H6n95KiC","chart",0.75,"medium"
"bByT7Rh9roCmbqaGC","chart",1,"medium"
"bsEpkh7YojCJLghEd","chart",1,"medium"
"cgYyY4fTJXA56ctZL","chart",1,"medium"
"cr57saSB3apE9rfTz","chart",1,"medium"
"d4WEZyZkMm48TdGgs","chart",1,"medium"
"dYCJXPSnQ9T3YobK4","chart",1,"medium"
"dZ8KiZZ2E3tazJAkN","chart",0.5,"medium"
"deejY9yj8hNefPrXY","chart",1,"medium"
"dmd8zDgoEDghk799k","chart",1,"medium"
"g5GEZn5hfoCkLqBLv","chart",1,"medium"
"gfs5G7LwXHLy9S5MP","chart",0.75,"medium"
"ghaAPFo6Xv3B9BZLK","chart",1,"medium"
"hPNTYGwERATDGDmLd","chart",0.75,"medium"
"iQNwNrzPorJeZRigg","chart",0.75,"medium"
"iZc3BMSXq68FKL3J8","chart",0.75,"medium"
"jW8hRMBPdt2SJEhZK","chart",0.75,"medium"
"k3iaj4mXTYFhTQGFJ","chart",0.5,"medium"
"kE4E4E2Zi474xtpKz","chart",0.25,"medium"
"mTp5RGkhAozn3pQki","chart",1,"medium"
"nisosFZ4dTEcXEdk3","chart",1,"medium"
"oS6C28ZBbcjF9ig5X","chart",0.75,"medium"
"op7kCpeMH7kgetiMX","chart",0.75,"medium"
"pBWdGHFmTu4Qw4snK","chart",1,"medium"
"pBZkpnAEoktK8YKwE","chart",1,"medium"
"qJgXxS5NHQc7JKZkA","chart",0,"medium"
"qtXFYALWvHiRafMvt","chart",1,"medium"
"rd8ivR2ve6AZXcqWp","chart",1,"medium"
"rpWb9YHJxpBKBy7pb","chart",1,"medium"
"sF9AdTFX7AJhypvCG","chart",1,"medium"
"t44ry6X7EnsvdqB6P","chart",1,"medium"
"tPBRJZguAyGyNN4H8","chart",1,"medium"
"tk8k2evrrS3s6Yw36","chart",0.25,"medium"
"vAm5piEWXfCXNsY7B","chart",1,"medium"
"vF4rwKEvi8otv5Pmx","chart",1,"medium"
"vKEtys3s8MppqDY9s","chart",1,"medium"
"w9xJDy63X4ixWuFvo","chart",1,"medium"
"wHETwTGT8FX5gYBH3","chart",0.5,"medium"
"xHrZaMN5Gg4n9xQsT","chart",1,"medium"
"xsLJWtHndc8s8WCce","chart",1,"medium"
"zncMWhGYQGmJSzXqa","chart",1,"medium"
"2Q34zAD2zTXRBaKu8","series",1,"medium"
"2pWSXLKqvCx7eLRHz","series",0.75,"medium"
"44MoHdTtHYg8Qim7C","series",1,"medium"
"5jp6HzWG9rMCBuRir","series",0.5,"medium"
"67e6Jh7hWzotbX4Er","series",1,"medium"
"6YiN7fLiZ8SDvsbLQ","series",0.75,"medium"
"6zyqucmdag4Xa4iSN","series",1,"medium"
"7kwt7pEsqN4qM28QR","series",1,"medium"
"7rxAoRJmJHaX26cqT","series",1,"medium"
"83NZFPecaGdFaxyyt","series",1,"medium"
"8mqew4zMANoi4fjsz","series",1,"medium"
"9bnFuHDpLcZFdwqxW","series",1,"medium"
"BgpK75C5uxeoHow2C","series",0,"medium"
"CBdaPJBEBq2xTJvgi","series",1,"medium"
"CzQsYF2oyREYEL3px","series",1,"medium"
"DAK7qCYagGXaKmTZy","series",1,"medium"
"DpfKW34oXPR9XvjKQ","series",1,"medium"
"EB2LaCrRfSNBuQ4vZ","series",1,"medium"
"EbtiYzqZtKd68LSjv","series",1,"medium"
"Eqn4ype3Z9xvpy6jD","series",0.25,"medium"
"FMACGWEb2mpFmzcy8","series",1,"medium"
"FTWQdHzfYQebiCvue","series",1,"medium"
"FqCqdGdj9BARepSne","series",0.5,"medium"
"HR5hGs4XkMDoDYfhQ","series",1,"medium"
"HStqpovWTqfwSwfpC","series",0.75,"medium"
"HSzZRx9bSdXWiRdLk","series",1,"medium"
"HYLe8iN7tKsJQZQjt","series",1,"medium"
"HpKs8JeagNQCAHcYx","series",0.75,"medium"
"HttjEXro9w8B2reDD","series",1,"medium"
"JqfvicGQJXeeKRJ64","series",0.5,"medium"
"JtNC5LZmmsmt7BrXm","series",0.75,"medium"
"KBG93DoQC4YeksP73","series",1,"medium"
"KDkcqMDJgbEfuyecm","series",1,"medium"
"KSaHABwnWq7vMF8ud","series",0.75,"medium"
"KXyDP5KMrmHR7bWvw","series",1,"medium"
"KeeScEwzE7d7Y8pjM","series",1,"medium"
"Ks7TdoNZwHMhapYuY","series",1,"medium"
"L6hhWSmzt5Gre4bMc","series",1,"medium"
"NLnWB24ANhreeNFuh","series",1,"medium"
"NZrcevWgubZ6E9Lc4","series",1,"medium"
"NisupxDZ8oQayBpB5","series",1,"medium"
"NzaXeMLv7jexivZFF","series",0.75,"medium"
"SQHrrqMRPZPWfD6d3","series",0.5,"medium"
"SphgvbbrKkYNYaWNd","series",0.75,"medium"
"TJadZckir3gGdGQj9","series",0.75,"medium"
"TZKHo2T9ywkiKhPyX","series",1,"medium"
"TbhJt2kCMtWXJ387e","series",1,"medium"
"W7XciYuzprjnwgbTP","series",0.75,"medium"
