"user","viz","actions","difficulty"
"eneKDk3QDTpghzkg5","series",7,"medium"
"fJ9m7KSykZNBKraP9","series",22.25,"medium"
"fnybrL5hbku3RuxsW","series",5.25,"medium"
"fqMr9DzgADfvbhEFP","series",11.5,"medium"
"g8752kBeS4S7Q2bFZ","series",4.75,"medium"
"gjHnYbyFFisfigApY","series",5.25,"medium"
"hgYDJshRwxs7egfvX","series",11,"medium"
"iACT8Wc9PosXt7xH6","series",6.25,"medium"
"jT3SAdPp5gfHr4k4n","series",13.75,"medium"
"jbuSnNTzpPv7iQPGq","series",5,"medium"
"kJCFGZGPqBPM5NiEu","series",5.5,"medium"
"kuA7hMBw2iFfwZ9fw","series",4.25,"medium"
"mh9p2kSQWvM8uAEK7","series",7.25,"medium"
"nAPiCihqksXL2XbTM","series",10,"medium"
"nPCqhcMdGm39zbLEe","series",6.25,"medium"
"nnqqJDqAKBySbdvdE","series",5,"medium"
"obXkTyEzXzSrubofE","series",6.5,"medium"
"qNMBxhDWJv2wbJPzh","series",5.25,"medium"
"qZwnWqNYBMnLCHzz2","series",7.5,"medium"
"qjzv49dPMBpv5LSyA","series",5.75,"medium"
"rP3cpBASPsit6sCMQ","series",6.75,"medium"
"sndaJBRShTy4bzbPq","series",6,"medium"
"stmcDKF2QPkaxzcxZ","series",10.5,"medium"
"uTbjZ8i4j5enGeHvQ","series",8.5,"medium"
"uf8PMATFx4hCcscLz","series",8,"medium"
"vF6k2cJjTXN2jH9Jj","series",5,"medium"
"vSzr7miAEFuvzip2b","series",8,"medium"
"vTe2CEZbj9q8wkhYc","series",4,"medium"
"vhAsiBXaDHghxPSTn","series",5.5,"medium"
"wHpjq3hzhkJu5kNHm","series",7,"medium"
"wRfXsATRbv699hZeG","series",6,"medium"
"wpHaTDLSHxwWcei3T","series",7.75,"medium"
"wsybRyehJdJyxLfCS","series",1.5,"medium"
"wtNK7f3ZzgkWHgCEN","series",4.75,"medium"
"wyjoPhnY2LzWWZAAh","series",5.5,"medium"
"xrzoyr6xvKMK57tSi","series",8,"medium"
"yMWvDqhxa73veYGvv","series",5,"medium"
"44Q3cDweeZi2KdNrQ","dots",6.25,"medium"
"49wAhBNrW23jx3XXn","dots",3.25,"medium"
"4k5RPShwnGPRsGyT5","dots",4.5,"medium"
"4yFSjAcLo8Xpb5NBr","dots",9,"medium"
"565FWNPmM73esEnv7","dots",11.25,"medium"
"5L4DdJBz8gq2Fug2c","dots",7.25,"medium"
"6bJLH7KTRKX24rdzY","dots",5.75,"medium"
"6hgn73CdCNRrsor7j","dots",10.5,"medium"
"6saGvz5mG5TgySvef","dots",6,"medium"
"6uWMQQ6rvPijqaHNb","dots",7.75,"medium"
"6w7CZYGQNDrpj7Dfp","dots",2,"medium"
"7mkiJ4PwnZGd2X5r3","dots",6,"medium"
"7sxqmnM8jPLCjgvur","dots",7.75,"medium"
"BGRvy45SSZdLGcDG9","dots",4.75,"medium"
"BRKEpiDsoBxXrNKWE","dots",7.75,"medium"
"ChMyMnHcj3MDEjgQT","dots",8.25,"medium"
"DAF22qWpCZ47gHCzY","dots",1.75,"medium"
"DejXtMhqHs5NKZnzH","dots",5.75,"medium"
"G6dBvgqckNkQ6g2gB","dots",9.5,"medium"
"GEZt6ZhsCGbMQtuXb","dots",7.75,"medium"
"GJs3xFDrbmEwXYAkh","dots",7.25,"medium"
"GM4BbQSYSjxzjrERS","dots",6.25,"medium"
"JTxorRPnKEGqjSq4K","dots",8.25,"medium"
"Je8XpG9m9hC9hToY4","dots",4.25,"medium"
"JkH5ARHNWebYz6nGM","dots",8.25,"medium"
"JodzAGSWFtbvdeSqk","dots",1.25,"medium"
"KT37QyJpjP4JnFivG","dots",9.5,"medium"
"LHMtg4o7REozFZQst","dots",6.5,"medium"
