"user","viz","speed","difficulty"
"QYunZ6tMA7J26vjAd","dots",177.90075,"easy"
"So6vS7RTzcjczT2Ez","dots",62.33275,"easy"
"TX9Dts9gXNPXMz8rB","dots",44.3595,"easy"
"TkfAAFTqB28dK39oz","dots",91.9305,"easy"
"WP5PCfQxB3wEAurmg","dots",58.9745,"easy"
"XYBg97mNbPsE3LvZ3","dots",9.0555,"easy"
"Xvfo9pTPRFTcRWZjk","dots",37.86625,"easy"
"YuvzrAZxcQM3iybyi","dots",118.68375,"easy"
"Z6Hs8C578xLyc3mPW","dots",10.45575,"easy"
"bLmrD6kL2LcejcDGG","dots",62.512,"easy"
"bNfX5RtGxcjjEaQnm","dots",62.0445,"easy"
"ciXN2wMuNmuSQ39g2","dots",32.06575,"easy"
"eFKFSc7w9LpttzJXf","dots",25.7565,"easy"
"eH6KnmqCsvg7MYmLA","dots",37.37475,"easy"
"eneTp6w6pA84Mei59","dots",69.77825,"easy"
"fZtpasQDW9KEkvNvm","dots",66.61225,"easy"
"gg3R6eX4snK5WPerg","dots",54.986,"easy"
"gkKbippZgDj7cmuE5","dots",42.938,"easy"
"gmhXAx3kc6sHGYumc","dots",60.26275,"easy"
"gmmuoNCkMmb4GrMiY","dots",62.97025,"easy"
"h5YWLzcpNyYqbXw6v","dots",40.15975,"easy"
"iZbujpH9ftg6KsTR6","dots",81.28875,"easy"
"in8NNmBKCnkoLWHvR","dots",20.502,"easy"
"jXZn9X83ef2JJBFwg","dots",48.21725,"easy"
"jpmvJFJDkAy6Qsaxi","dots",103.4155,"easy"
"kR9gXGwgC2SnJsu6q","dots",52.91975,"easy"
"mHBGJAQ8ExL8qY4gi","dots",93.492,"easy"
"mjy4Mv3a2yGaMpc4E","dots",69.12375,"easy"
"nFDdWcuugyswBQCMR","dots",60.283,"easy"
"oA48TCv4sRFG3ocsX","dots",56.106,"easy"
"oTWN3XnRXhqpNGZsP","dots",54.857,"easy"
"paX4nvBm9jwDpdR2J","dots",37.89125,"easy"
"qgzmQ77MB9AKcE9Fy","dots",48.569,"easy"
"qzH7FmBcioiJyuEnY","dots",93.76325,"easy"
"rdBwKfSNTAKQWpsGh","dots",72.35625,"easy"
"rvn8bRwTMatqzgReu","dots",27.09875,"easy"
"s3gy6QAtbGfSsgnXT","dots",77.278,"easy"
"sGYHFWE6HoCL7BoJg","dots",71.691,"easy"
"tjHryQhhrgRv3h48J","dots",164.152,"easy"
"toJyc3up66AxtgvGn","dots",67.34375,"easy"
"tu5iL4cwMnkixZFxs","dots",26.18775,"easy"
"uMwnMRnysYSSHpj3X","dots",45.85875,"easy"
"vZtpvuvY6fsNSzFsW","dots",57.67975,"easy"
"wC882gjwdsRsQ8iiS","dots",44.7085,"easy"
"wGNymGb9TrqzwJTbo","dots",45.521,"easy"
"wThHEfiYtJwhzCsau","dots",63.08775,"easy"
"whoCwcBHkH2qigHRq","dots",50.5135,"easy"
"xqXfF5CnyCgkFJ6a3","dots",44.971,"easy"
"y6hCAEa6pDy8Gbm67","dots",33.92975,"easy"
"yDuMqTgtWc4G2LQR7","dots",34.6985,"easy"
"yqGbGwB4rJziABCxB","dots",37.1515,"easy"
"28CHCCaX86Minmj7c","chart",30.452,"medium"
"2MRCHFhT65vrXtvJz","chart",36.91325,"medium"
"2MejMZLQaWQznRtE2","chart",49.188,"medium"
"45jqgtswH3drmsjx5","chart",68.44425,"medium"
"4zRq6hPsqtP7FZbhx","chart",30.45975,"medium"
"5JDFvPXkSznwyMAC5","chart",44.18125,"medium"
"6mKtSBrzBBPyic4HP","chart",33.289,"medium"
"7SnZEt5u4cDaQp3Ti","chart",37.2735,"medium"
"7u5XdW2fvvpQyQEw2","chart",25.67025,"medium"
"8GZPtZAAnG8Fm4ciK","chart",33.5485,"medium"
"9pdsf5midvhEDBrQa","chart",51.069,"medium"
"BcJjiDTZjYJvWTCe3","chart",74.29275,"medium"
"CKf5XfBAJpfcGsvT2","chart",35.70225,"medium"
"D6XMoj2aKSjtJSEJf","chart",36.82775,"medium"
"EmzJRiyqRKCougYZN","chart",27.20975,"medium"
"Exj6H7bRPSCjPigQm","chart",47.64775,"medium"
"G6zbMK6ZZ9JcN7KgD","chart",35.446,"medium"
"GDZ999tSLx7bJTjCH","chart",15.0585,"medium"
"HCJjRGzyJLFgbeDem","chart",49.622,"medium"
"Ke592aJdjyNZ4ntW3","chart",45.03725,"medium"
"KmKn9NMEfj2whSPT2","chart",40.939,"medium"
"LsyvaxixbfNLFBxLj","chart",47.6185,"medium"
"PKgrWHAhesWh7iJ6z","chart",50.6355,"medium"
